TP17,101.70,19.20,0.00,EPD_3V3,TP20R
TP2,13.00,69.70,0.00,RX,TP20R
TP3,147.15,58.99,0.00,VBAT,TP20R
TP4,129.87,60.19,0.00,GND,TP20R
TP5,147.09,63.29,0.00,GND,TP20R
TP6,76.20,99.00,0.00,MISO,TP20R
TP7,81.54,99.08,0.00,MOSI,TP20R
TP8,86.82,99.25,0.00,SCK,TP20R
TP9,106.90,19.20,0.00,EPD_BUSY,TP20R
U1,36.89,54.30,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.00,55.60,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,84.35,54.30,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,137.94,52.52,0.00,MAX17048G+T10,SON50P200X200X80-9N
