Qty,Value,Device,Package,Parts,PURCHASE-URL,DATASHEET-URL,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CHECK_PRICES,COPYRIGHT,DESCRIPTION,HEIGHT,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MFR_NAME,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MOUSER_TESTING_PART_NUMBER,MOUSER_TESTING_PRICE-STOCK,MP,PACKAGE,POPULARITY,PRICE,PROD_ID,SNAPEDA_LINK,SPICEPREFIX,VALUE
1,EPD_RST,TP,TP20R,TP12,,,Test pad,,,,,,,,,,,,,,,,,,,,,,,
1,ESP32-C6-WROOM-1-N8,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8,U2,https://www.digikey.com/en/products/detail/espressif-systems/ESP32-C6-WROOM-1-N8/17728866?s=N4IgTCBcDaIKIGUAKBmMBaAwgNnQdQCUB5IgWXQEZ0A5ADhAF0BfIA,https://www.digikey.com/en/products/detail/espressif-systems/ESP32-C6-WROOM-1-N8/17728866?s=N4IgTCBcDaIKIGUAKBmMBaAwgNnQdQCUB5IgWXQEZ0A5ADhAF0BfIA,Check availability,,,In Stock,https://www.snapeda.com/parts/ESP32-C6-WROOM-1-N8/Espressif+Systems/view-part/?ref=eda,, Multiprotocol Modules ESP32-C6 module, Wi-Fi 6 in 2.4 GHz band, Bluetooth 5, Zigbee 3.0 and Thread. ESP34-WROOM Compatible - ENGINEERING SAMPLE ,,,,Espressif Systems,,,,,,ESP32-C6-WROOM-1-N8,None,None,,
1,ESP32C6_VARISTORCN1812,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812,PFMF.050.1,https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B72580T0400K062/4945372,https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B72580T0400K062/4945372,VARISTOR,,,,,,,,,,,,,,,,,,0,,,,,
1,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,D2,https://www.digikey.com/en/products/detail/kyocera-avx/SD0805S020S1R0/3749517?s=N4IgTCBcDaIMoBEAMAOJBWOSxLgRgCUkQBdAXyA,https://www.digikey.com/en/products/detail/kyocera-avx/SD0805S020S1R0/3749517?s=N4IgTCBcDaIMoBEAMAOJBWOSxLgRgCUkQBdAXyA,Schottky Barrier Rectifier Diode,,,,,,,,,,,,,,,,,,,,,,,
1,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5,MCP73831,https://www.digikey.com/en/products/detail/microchip-technology/MCP73831T-2ACI-OT/964301,https://www.digikey.com/en/products/detail/microchip-technology/MCP73831T-2ACI-OT/964301,"MCP73831T Li-Ion, Li-Pol Controller",,,,,,,,,,,,,,,,,,,,IC-09995,,,
1,FH34SRJ-24S-0.5SH_99_,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99,J1,https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/fh34srj-24s-0-5sh-99/5132529,https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/fh34srj-24s-0-5sh-99/5132529," (0.50mm) Surface Mount, Right Angle",,,,,,24 Position FFC, FPC Connector Contacts, (0.50mm) Surface Mount, Right Angle,1.1mm,Hirose,FH34SRJ-24S-0.5SH(99),,,798-FH34SRJ24S05SH99,https://www.mouser.co.uk/ProductDetail/Hirose-Connector/FH34SRJ-24S-0.5SH99?qs=vcbW%252B4%252BSTIpKBl5ap9J8Fw%3D%3D,,,,,,,
2,GND,TP,TP20R,"TP4, TP5",,,Test pad,,,,,,,,,,,,,,,,,,,,,,,
1,INT_RTC,TP,TP20R,TP15,,,Test pad,,,,,,,,,,,,,,,,,,,,,,,
1,MAX17048G+T10,MAX17048G+T10,SON50P200X200X80-9N,U4,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=329239&manufacturer=Analog Devices&part_name=MAX17048G+T10&search_term=None,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/max17048g-t10/3758921,Check availability,,,In Stock,https://www.snapeda.com/parts/MAX17048G+T10/Analog+Devices/view-part/?ref=eda,, 3µA 1-Cell/2-Cell Fuel Gauge with ModelGauge ,,,,Analog Devices,,,,,,MAX17048G+T10,TDFN-8 Maxim,,None,,https://www.snapeda.com/parts/MAX17048G+T10/Analog+Devices/view-part/?ref=snap,,
3,MBR0530.,MBR0530.,SOD3716X135N,"D3, D4, D5",https://www.digikey.com/en/products/detail/smc-diode-solutions/MBR0530/16692306,https://www.digikey.com/en/products/detail/smc-diode-solutions/MBR0530/16692306,"ON SEMICONDUCTOR - MBR0530 - DIODE, SCHOTTKY, 0.5A, 30V, SOD-123",,,,,,,,,,,,,,,,,,,,,,,
